,Autore,Stelle,Data,Titolo,Recensione,Lingua,Recensione_tradotta
200,Roborob,3,2023-03-12,"Decent fitness tracker, but very limited as a smart watch","I have the purple version. The band is purple, but the watch itself looks more like rose gold. The band is removable, but I'm not sure how to find a compatible replacement.As a fitness tracker, I like it, but as a general purpose smart watch, it fails to meet my expectations.The heart rate and blood oxygen measurements agree with my pulse oximeter, so I feel pretty confident in the accuracy. Sleep tracking is as accurate as other watches I've tried before, meaning not great, but still useful for estimating how much sleep you get.I haven't been able to get most of the calling features to work with my Pixel 6. If I select the phone app and select a favorite or enter a number with the dialer, it says ""Connect your phone"" even though my phone is connected and the app is open. When I receive a call, the watch displays the caller ID but the only option is to hang up. Oddly, when I reset the watch and paired it with my wife's Pixel 6a, the calling features worked, so it's some sort of compatibility issue and not necessarily a fault of the watch itself.The notification support is quite limited. There are options to display some system notifications (email, SMS, calendar events, missed call) and another list of ten apps (Messenger, Facebook, Twitter, Instagram, WhatsApp, LinkedIn, Skype, Snapchat, Telegram, YouTube) that can be enabled. I have not found a way to enable notifications from other apps. I would love to see turn by turn directions from Google Maps, but it's not on the list, so it isn't supported.The Alexa functionality is cool when it works, but it keeps logging me off, so it almost never works when I need it.",en,"Ho la versione viola. Il cinturino è viola, ma l'orologio stesso sembra più oro rosa. Il cinturino è rimovibile, ma non sono sicuro di come trovare un sostituto compatibile. Come fitness tracker mi piace, ma come smartwatch per uso generale non soddisfa le mie aspettative. Le misurazioni della frequenza cardiaca e dell'ossigeno nel sangue concordano con il mio pulsossimetro, quindi sono abbastanza fiducioso nella precisione. Il monitoraggio del sonno è accurato quanto altri orologi che ho provato in precedenza, il che significa che non è eccezionale, ma è comunque utile per stimare la quantità di sonno che dormi. Non sono riuscito a far funzionare la maggior parte delle funzionalità di chiamata con il mio Pixel 6. Se Seleziono l'app del telefono e seleziono un preferito o inserisco un numero con il dialer, viene visualizzato ""Connetti il ​​tuo telefono"" anche se il mio telefono è connesso e l'app è aperta. Quando ricevo una chiamata, l'orologio visualizza l'ID del chiamante ma l'unica opzione è riagganciare. Stranamente, quando ho ripristinato l'orologio e l'ho abbinato al Pixel 6a di mia moglie, le funzionalità di chiamata hanno funzionato, quindi si tratta di una sorta di problema di compatibilità e non necessariamente di un difetto dell'orologio stesso. Il supporto delle notifiche è piuttosto limitato. Sono presenti opzioni per visualizzare alcune notifiche di sistema (email, SMS, eventi del calendario, chiamate perse) e un altro elenco di dieci app (Messenger, Facebook, Twitter, Instagram, WhatsApp, LinkedIn, Skype, Snapchat, Telegram, YouTube) che possono essere abilitate . Non ho trovato un modo per abilitare le notifiche da altre app. Mi piacerebbe vedere le indicazioni stradali svolta per svolta da Google Maps, ma non è nell'elenco, quindi non è supportata. La funzionalità Alexa è interessante quando funziona, ma continua a disconnettermi, quindi non funziona quasi mai quando bisogno di essa."
201,MR H,3,2023-01-06,Interesting,An interesting watch with more functionality than my old cheap 'smart watch'. This has the ability to make and answer calls and also links to Alexa. The watch has lots of watch faces that you can install - most of them very similar. You can install your own background image but then you are limited on what else you can display (widgets). There is a limited number of sports included but not a comprehensive list e.g. no winter sports.The watch is slightly fatter (chunkier) than I was expecting/hoping for but not excessively so - but certainly not slim. The colour is a matter of choice and the strap is a typical soft silicone affair.A fair watch. Good if you want voice control/Alexa/call abilities etc. If not then save some money and get a cheaper/slimmer watch instead.,en,"Un orologio interessante con più funzionalità del mio vecchio ""orologio intelligente"" economico. Questo ha la capacità di effettuare e rispondere alle chiamate e anche di collegarsi ad Alexa. L'orologio ha molti quadranti che puoi installare, la maggior parte dei quali molto simili. Puoi installare la tua immagine di sfondo, ma sei limitato su cos'altro puoi visualizzare (widget). È incluso un numero limitato di sport ma non un elenco completo, ad es. niente sport invernali. L'orologio è leggermente più grosso (più grosso) di quanto mi aspettassi/sperassi ma non eccessivamente, ma certamente non sottile. Il colore è una questione di scelta e il cinturino è un tipico affare in silicone morbido. Un orologio discreto. Utile se vuoi il controllo vocale/Alexa/capacità di chiamata, ecc. In caso contrario, risparmia un po' di soldi e acquista invece un orologio più economico/più sottile."
202,Raine W,3,2022-12-17,Ok for a cheap smartwatch,"I have mixed feelings about this watch. At £62.99 it is expensive but it does have a £30 off voucher which brings it down to a good price. The instructions are minimal to say the least. You can use the QR code to get more information but the screen only stays lit up for a couple of seconds so it is really hard to use the phone to scan the barcode! It took me many attempts. It paired easily enough to my phone and I downloaded the app and again it paired successfully. It took me a lot longer to set Alexa up. One feature it claims to have is music but then when I ask Alexa to play something she tells me the watch does not support music or radio!! The music control is on the watch but if I press play then it plays from my phone instead. Not a big deal but not as described either. I have answered a call with it and I am told I sound really clear. I wouldn’t normally use it for that, more to reject calls!!!! Messages come up on it but you cannot reply to them. I just think it is very basic but has some good features like the heart and oxygen levels monitoring. As I am asthmatic this is really useful for me. It also records my steps.  For the price of £32.99 I think it is great but I wouldn’t pay the full price for it.",en,"Ho sentimenti contrastanti su questo orologio. A £ 62,99 è costoso ma ha un buono sconto di £ 30 che lo porta a un buon prezzo. Le istruzioni sono a dir poco minime. Puoi utilizzare il codice QR per ottenere maggiori informazioni ma lo schermo rimane illuminato solo per un paio di secondi quindi è davvero difficile usare il telefono per scansionare il codice a barre! Mi ci sono voluti molti tentativi. Si è accoppiato abbastanza facilmente al mio telefono e ho scaricato l'app e di nuovo si è accoppiata correttamente. Mi ci è voluto molto più tempo per configurare Alexa. Una caratteristica che afferma di avere è la musica, ma poi quando chiedo ad Alexa di riprodurre qualcosa mi dice che l'orologio non supporta la musica o la radio!! Il controllo della musica è sull'orologio, ma se premo Riproduci viene riprodotta dal mio telefono. Non è un grosso problema ma nemmeno come descritto. Ho risposto a una chiamata e mi è stato detto che sembro davvero chiaro. Normalmente non lo userei per quello, più per rifiutare le chiamate!!!! Vengono visualizzati dei messaggi ma non è possibile rispondere. Penso solo che sia molto semplice ma ha alcune buone caratteristiche come il monitoraggio del cuore e dei livelli di ossigeno. Dato che sono asmatico, questo è davvero utile per me. Registra anche i miei passi. Per il prezzo di £ 32,99 penso che sia fantastico, ma non lo pagherei il prezzo intero."
203,Zoe Hart,3,2022-12-27,Inconsistent,"Firstly, the watch strap itself is a nice feel and fit. The watch face is a decent size and about the thickness you would expect.It is relatively cheaply priced (£49.99 at time of review) so of course I wasn't expecting the performance of my branded watch that cost 6/7 times the price. And I was expecting a better performance than some of the very cheap (£20 range) watches I have reviewed.Overall I'm disappointed. The stats is provides are inconsistent and not in comparison with my current watch so I just cannot trust the data it is giving me. It really depends on what you want from a watch and how much you are prepared to spend, personally I would try to spend a little more to get better, otherwise you may aswell just go for a very cheap one.",en,"In primo luogo, il cinturino dell'orologio stesso è piacevole al tatto e in forma. Il quadrante è di buone dimensioni e ha più o meno lo spessore che ti aspetteresti. Ha un prezzo relativamente economico (£ 49,99 al momento della recensione), quindi ovviamente non mi aspettavo le prestazioni del mio orologio di marca che costa 6/7 volte il prezzo . E mi aspettavo prestazioni migliori rispetto ad alcuni degli orologi molto economici (gamma da £ 20) che ho recensito. Nel complesso sono deluso. Le statistiche fornite non sono coerenti e non sono paragonabili a quelle del mio orologio attuale, quindi non posso fidarmi dei dati che mi fornisce. Dipende molto da cosa vuoi da un orologio e quanto sei disposto a spendere, personalmente proverei a spendere qualcosa in più per stare meglio, altrimenti potresti anche prenderne uno molto economico."
204,John Mendoza,3,2023-03-23,Nothing really special,"You buy one generic watch you bought them all . Band was not easy to change, changing certain settings was difficult. Good luck finding  the blue tooth option.",en,"Compri un orologio generico, li hai comprati tutti. La band non è stata facile da cambiare, cambiare alcune impostazioni è stato difficile. Buona fortuna nel trovare l'opzione dente blu."
205,Mickael loock,3,2022-12-30,Idée cadeau,"Commandé pour mon fils, cette montre ce connecte facilement sur son téléphone, parfait pour son sport",fr,"Ordinato per mio figlio, questo orologio si collega facilmente al suo telefono, perfetto per il suo sport"
206,LeToubib,3,2023-01-30,Bof....,"J'ai pris cette montre pour changer un peu la mienne. Celle-ci est pas mal en soit au niveau du design et de son écran assez grand. Par contre, je dois avoir un modèle défectueux car elle galère à se connecter et se déconnecte toute seule.... Déçu....",fr,Ho preso questo orologio per cambiare un po' il mio. Questo non è male in sé in termini di design e di schermo abbastanza grande. Invece devo avere un modello difettoso perché fa fatica a connettersi e si disconnette da solo.... Deluso....
207,Tanguy,3,2022-12-20,Une montre connectée premier prix,"J'utilise déjà des montres connectées lors de mes activités sportives mais aussi dans la vie de tous les jours pour compter mes pas.Ce modèle est assez basique : déjà la montre n'est pas très compact et plutôt épaisse ce qui n'est pas très agréable à porter si vous avez un petit poignet.La notice est très limitée et n'explique pas grand chose. Le setup a donc été un peu compliqué, même pour une personne habituée. A l'utilisation la montre se déconnecte souvent donc la partie ""appel"" est peu fiable même avec un téléphone pourtant récent (Pixel 6).Côté autonomie rien à redire, elle tient pour le moment une semaine sans problème. L'écran est plutôt lisible même si les options ne permettent pas de tout vraiment personnaliser.Le compte de pas est correct, le moniteur de fréquence cardiaque aussi mais  je n'ai pas testé toutes les fonctionnalités cependant.Globalement si vous cherchez une montre connectée petit prix (50€) c'est un choix intéressant sauf si vous souhaitez l'utiliser pour les appels.",fr,"Utilizzo già gli orologi connessi durante le mie attività sportive ma anche nella vita di tutti i giorni per contare i passi. Questo modello è abbastanza basilare: l'orologio è già poco compatto e piuttosto spesso che non è molto piacevole da indossare se si ha un polso piccolo. le istruzioni sono molto limitate e non spiegano molto. L'installazione è stata quindi un po' complicata, anche per una persona esperta. Durante l'uso l'orologio si disconnette spesso, quindi la parte ""chiamata"" è inaffidabile anche con un telefono recente (Pixel 6). In termini di durata della batteria niente da eccepire, per il momento dura una settimana senza problemi. Lo schermo è abbastanza leggibile anche se le opzioni non permettono di personalizzare davvero tutto. Il conteggio dei passi è corretto, il cardiofrequenzimetro anche ma non ho testato tutte le funzionalità però. Nel complesso se cercate un dispositivo connesso guarda il prezzo basso (50€) è una scelta interessante a meno che tu non voglia usarlo per le chiamate."
208,Pippo,4,2023-11-09,Ottimo prodotto,"Ottimo prodotto ma devo dire che da qualche problema nell'allacciare il cinturino. Acquistandolo, pensavo che avesse anche il controllo della pressione del sangue, al contrario, controlla solo la frequenza ... errore mio se ho frainteso nel leggere la descrizione del prodotto in fase di acquisto",it,"Ottimo prodotto ma devo dire che da qualche problema nell'allacciare il cinturino. Acquistandolo, pensavo che avesse anche il controllo della pressione del sangue, al contrario, controlla solo la frequenza ... errore mio se ho frainteso nel leggere la descrizione del prodotto in fase di acquisto"
209,Davide Canella,4,2023-10-16,"Seconda scelta, ma con ottimi risultati nonostante i suoi requisiti.","Sostituzione di un primo acquisto poco felice. Fa il suo dovere. Facile l'associazione. Poca la durata della batteria. Semplici e intuitive le istruzioni. Il tempo darà le altre recensioni.Confermo purtroppo la scarsa durata della batteria (3/4 giorni), anche la funzione nell'app per lo sport o allenamento è macchinoso e poco chiaro, manca una impostazione del percorso da stabilire con la mappa.Con ALEXA si disconnette troppo spesso con l'account AMAZON.Per il resto si sta dimostrando una piacevole sorpresa in quanto qualità/prezzo.Più avanti altre modifiche alla recensione.",it,"Sostituzione di un primo acquisto poco felice. Fa il suo dovere. Facile l'associazione. Poca la durata della batteria. Semplici e intuitive le istruzioni. Il tempo darà le altre recensioni.Confermo purtroppo la scarsa durata della batteria (3/4 giorni), anche la funzione nell'app per lo sport o allenamento è macchinoso e poco chiaro, manca una impostazione del percorso da stabilire con la mappa.Con ALEXA si disconnette troppo spesso con l'account AMAZON.Per il resto si sta dimostrando una piacevole sorpresa in quanto qualità/prezzo.Più avanti altre modifiche alla recensione."
210,Buon prodotto e prezzo accettabile.  Spedizione buona e veloce ed imballaggio ottimo ,4,2023-10-29,Buono,Al momento sembra un buon prodotto facile da usare e con molte funzionalità. Ottima l offerta di acquisto e puntuale la spedizione,it,Al momento sembra un buon prodotto facile da usare e con molte funzionalità. Ottima l offerta di acquisto e puntuale la spedizione
211,Max,4,2023-07-22,Quasi perfetto,,,
212,Deborah,4,2023-11-16,Buon prodotto,,,
213,Roberta ,4,2023-10-09,Regalo,"Ho fatto un regalo a mio figlio e gli è piaciuto molto, soddisfatta 👍",it,"Ho fatto un regalo a mio figlio e gli è piaciuto molto, soddisfatta 👍"
214,toliv,4,2023-10-11,Smart Watch donna,"Trattasi di regalo, non valutabile",en,"Trattasi di regalo, non valutabile"
215,Matteo,4,2023-10-01,Buono,Buon rapporto qualità prezzo compresa la batteria e notifiche di vario genere,it,Buon rapporto qualità prezzo compresa la batteria e notifiche di vario genere
216,Cliente Amazon,4,2023-09-29,utile,la funzionalità e l'utilità,it,la funzionalità e l'utilità
217,Antonio,4,2023-09-26,Buono,"Buono, ha la sola pecca che alexa si disconnette di frequente",it,"Buono, ha la sola pecca che alexa si disconnette di frequente"
218,M.M,4,2023-09-21,Buon prodotto giusto prezzo,"Mi devo ricredere risponde bene ai comandi è reattivo, il vivavoce è super rispetto alla concorrenza...",it,"Mi devo ricredere risponde bene ai comandi è reattivo, il vivavoce è super rispetto alla concorrenza..."
219,Maria C,4,2023-09-29,Ok,Per ora ok,en,Per ora ok
220,Laura antico,4,2023-09-16,Leggero e pratico,"Colori brillanti di facile istallazione, leggero, per il prezzo pagato veramente soddisfatta",it,"Colori brillanti di facile istallazione, leggero, per il prezzo pagato veramente soddisfatta"
221,Che delusione!! L'orologio è tutto scuro scocca compresa..e dire che dalle foto non sembrava proprio.. pazienza!!,4,2023-09-03,Volume,Costruito bene con la batteria che effettivamente dura diversi giorni..unico problema che l'ap Alexa si sente bassissimo e non so proprio cosa fare per aumentare il volume..,it,Costruito bene con la batteria che effettivamente dura diversi giorni..unico problema che l'ap Alexa si sente bassissimo e non so proprio cosa fare per aumentare il volume..
222,a s,4,2023-09-15,Orologio,Niente di che... Non si capisce nulla,it,Niente di che... Non si capisce nulla
223,David Mancini,4,2023-08-30,Piace a mia moglie,Leggi il titolo è sei sei sposato capirai che non è una cosa da poco! Do quattro stelle perché mettendo una foto sullo sfondo non è possibile contemporaneamente visualizzare gli altri dati sullo schermo,it,Leggi il titolo è sei sei sposato capirai che non è una cosa da poco! Do quattro stelle perché mettendo una foto sullo sfondo non è possibile contemporaneamente visualizzare gli altri dati sullo schermo
224,Barbara,4,2023-09-16,Ottimo acquisto,"Consegna rapida, ottimo prodotto",it,"Consegna rapida, ottimo prodotto"
225,Franca rubaudo,4,2023-09-01,Bello ed elegante,.vorrei sapere come acquistare  un altro cinturino per tenerlo di scorta..ma non so come cercarlo su amazon..se qualcuno mi sa dire mi farebbe piacere .grazie,it,.vorrei sapere come acquistare  un altro cinturino per tenerlo di scorta..ma non so come cercarlo su amazon..se qualcuno mi sa dire mi farebbe piacere .grazie
226,daniela rossi,4,2023-08-31,Carino,"Buon prodotto, prezzo altrettanto buono.Leggero, linea semplice.Consiglio",it,"Buon prodotto, prezzo altrettanto buono.Leggero, linea semplice.Consiglio"
227,Giovanni ,4,2023-09-03,Consiglio l'acquisto,Buon rapporto qualità/prezzo,it,Buon rapporto qualità/prezzo
228,Maria Rosa Bernardi,4,2023-08-09,Ottimo,"Preciso, bello, versatile, resistente. All'inizio mi sembrava ingombrante ma ha tutte le caratteristiche descritte. Forse un ""mezzo"" neo il fatto che non sempre al movimento del polso corrisponde l'accensione del display.",it,"Preciso, bello, versatile, resistente. All'inizio mi sembrava ingombrante ma ha tutte le caratteristiche descritte. Forse un ""mezzo"" neo il fatto che non sempre al movimento del polso corrisponde l'accensione del display."
229,Davide B.,4,2023-08-05,Orologio magico,,,
230,"Che dire  orologio buono, abbastanza semplice da usare...anche se non riesco ad usare alexa",4,2023-07-24,Orologio,Orologio  buono e comodo col cinturino finale inserito  dentro ...abbastanza facile  da usare  anche se non riesco  ad usare  alexa,it,Orologio  buono e comodo col cinturino finale inserito  dentro ...abbastanza facile  da usare  anche se non riesco  ad usare  alexa
231,nicola palmieri,4,2023-05-16,buon smartwatch ma per alexa e' difficoltoso,"Lo avevo preso anche per interagire con alexa ma purtroppo l'accoppiamento dura poco, ogni po di tempo dice che si e' disconnesso e bisogna ricollegarsi all'app alexa per fare tutto l'iter con il codice di autorizzazione. Inoltre ogni tanto, quando alexa risponde, la frase mi si interrompe dopo 2 o 3 secondi.A parte queste note su Alexa, per il resto e' ottimo come la possibilità di poter chiamare direttamente dallo smartwatch.",it,"Lo avevo preso anche per interagire con alexa ma purtroppo l'accoppiamento dura poco, ogni po di tempo dice che si e' disconnesso e bisogna ricollegarsi all'app alexa per fare tutto l'iter con il codice di autorizzazione. Inoltre ogni tanto, quando alexa risponde, la frase mi si interrompe dopo 2 o 3 secondi.A parte queste note su Alexa, per il resto e' ottimo come la possibilità di poter chiamare direttamente dallo smartwatch."
232,Salvatore Caramma,4,2023-07-07,Ok,Quale Alexa bisogna installare sul mio telefono per poter effettuare chiamate dal mio smartwatch vi ringrazio anticipatamente per il vostro aiuto,it,Quale Alexa bisogna installare sul mio telefono per poter effettuare chiamate dal mio smartwatch vi ringrazio anticipatamente per il vostro aiuto
233,Matteo,4,2023-07-28,Ottimo per qualità e prezzo,Funziona benissimo,it,Funziona benissimo
234,"Ciao, sapete come si attivano le notifiche whatsapp con i phone 11, a me si vedono tutte tranne quelle e ho attivato tutto",4,2023-07-17,Notifiche whatsapp,,,
235,Mimi,4,2023-05-30,Smart,Ottimo prodotto,it,Ottimo prodotto
236,Cliente Amazon,4,2023-04-12,Ottimo acquisto,Il primo acquisto aveva un difetto di fabbrica e contattando il venditore me ne hanno spedito un'altro e sembra funzionare molto bene x ora. Molto comodo e funzionale. Lo consiglio.,it,Il primo acquisto aveva un difetto di fabbrica e contattando il venditore me ne hanno spedito un'altro e sembra funzionare molto bene x ora. Molto comodo e funzionale. Lo consiglio.
237,Giacomo,4,2023-05-07,Ottimo qualità prezzo,,,
238,Lula,4,2022-12-13,Carino e utile,"L’ho acquistato per fare un regalo, si interfaccia perfettamente con Android ovviamente non ho le medesime caratteristiche di un iwatch ma funziona molto bene… accetta e risponde a chiamate in entrata una volta sintonizzato con il cellulare… non decodifica tutti i numeri in rubrica, il mio amico dice solo fino a 7 numeri… però lui è veramente soddisfatto… ottimo rapporto qualità prezzo",it,"L’ho acquistato per fare un regalo, si interfaccia perfettamente con Android ovviamente non ho le medesime caratteristiche di un iwatch ma funziona molto bene… accetta e risponde a chiamate in entrata una volta sintonizzato con il cellulare… non decodifica tutti i numeri in rubrica, il mio amico dice solo fino a 7 numeri… però lui è veramente soddisfatto… ottimo rapporto qualità prezzo"
239,Antonio,4,2023-04-21,Soddisfatto,Buon prodotto..,it,Buon prodotto..
240,Paola Salvatori,4,2023-03-10,Per ora sembra buono!,,,
241,Siria,4,2023-03-05,Bello,"Funziona molto bene, fluido, app intuitiva e facile da usare",it,"Funziona molto bene, fluido, app intuitiva e facile da usare"
242,Cortese Saverio,4,2022-09-29,A,No rileva la pressione sanguigna.,it,No rileva la pressione sanguigna.
243,Riccardo Mele,4,2023-11-01,Orologio molto carino ma,"L'orologio è molto carino, pratico e funzionale. L'unica cosa è pensavo avesse la misurazione della pressione sanguigna perché avevo letto, dalle domande che si trovano nell'annuncio, che c'era questa caratteristica. Per il resto è perfetto. Lo terrò comunque",it,"L'orologio è molto carino, pratico e funzionale. L'unica cosa è pensavo avesse la misurazione della pressione sanguigna perché avevo letto, dalle domande che si trovano nell'annuncio, che c'era questa caratteristica. Per il resto è perfetto. Lo terrò comunque"
244,Matteo,4,2023-10-04,Ben fatto,Un buon orologio. Peccato solo non si possa rispondere direttamente ai messaggi whatsapp,it,Un buon orologio. Peccato solo non si possa rispondere direttamente ai messaggi whatsapp
245,ilda de martinis,4,2023-08-31,Paragonabile all apple,Ottimo orologio lo regalato a mia figlia.Ma ottima riuscita riesce a vedere messaggi.Chiamate addirittura è riuscita a scaricare e collegarlo con Alexa.Vedere di tutto.Consiglio di acquistarlo ne vale la pena.Avevo timore nel comprarlo.Ma adesso sono soddisfatta,it,Ottimo orologio lo regalato a mia figlia.Ma ottima riuscita riesce a vedere messaggi.Chiamate addirittura è riuscita a scaricare e collegarlo con Alexa.Vedere di tutto.Consiglio di acquistarlo ne vale la pena.Avevo timore nel comprarlo.Ma adesso sono soddisfatta
246,Lucia Mangano,4,2023-05-16,Le chat ?,Bellissimo ma le chat non riesco a leggere ne anteprime ne testi dj whatsapp e Instagram come fare? Ho un  iPhone 14 le ho provate tutte,it,Bellissimo ma le chat non riesco a leggere ne anteprime ne testi dj whatsapp e Instagram come fare? Ho un  iPhone 14 le ho provate tutte
247,GIANNI,4,2023-06-02,orologio smart,ho comprato questo orologio per una conoscente un pochino anziana. Le servirà solo per ricevere e rispondere alle chiamate. Per le alte funzioni non credo che venga sfruttato al meglio. purtroppo in fase di registrazione della mail deve essere andato storto qualcosa e non è stato possibile ricevere il codice di verifica. Così come non è stato possibile cambiare la mail. Per il resto nessun problema da segnalare. Nei prossimi giorni verificherò con la persona come lo sta usando e se si trova bene.,it,ho comprato questo orologio per una conoscente un pochino anziana. Le servirà solo per ricevere e rispondere alle chiamate. Per le alte funzioni non credo che venga sfruttato al meglio. purtroppo in fase di registrazione della mail deve essere andato storto qualcosa e non è stato possibile ricevere il codice di verifica. Così come non è stato possibile cambiare la mail. Per il resto nessun problema da segnalare. Nei prossimi giorni verificherò con la persona come lo sta usando e se si trova bene.
248,Enza polimeno,4,2023-05-30,Regalo,"È stato un regalo molto apprezzato, mi è stato detto che funziona bene",it,"È stato un regalo molto apprezzato, mi è stato detto che funziona bene"
249,Davide,4,2023-05-10,Ok 👍🏼,Per adesso sembra un buon prodotto … è da poco che lo ho,it,Per adesso sembra un buon prodotto … è da poco che lo ho
250,Alessandro,4,2023-03-11,Bello ma incompleto,"Smartwatch molto bello e anche abbastanza preciso. Ha qualche piccola mancanza, tipo calcolatrice e misuratore di pressione sanguigna ma in compenso ha una app molto ben fatta. Del resto a questi prezzi non c'è troppo da pretendere. Quattro stelle perché il venditore non riesce a fornire un'alternativa al cinturino di gomma, venditore comunque molto serio e cortese.Consigliato",it,"Smartwatch molto bello e anche abbastanza preciso. Ha qualche piccola mancanza, tipo calcolatrice e misuratore di pressione sanguigna ma in compenso ha una app molto ben fatta. Del resto a questi prezzi non c'è troppo da pretendere. Quattro stelle perché il venditore non riesce a fornire un'alternativa al cinturino di gomma, venditore comunque molto serio e cortese.Consigliato"
251,Fabio81,4,2023-01-25,Perfetto,"Ottimo orologio, qualche piccolo problema con Alexa e con battito cardiaco, non lo rileva molte volte per il resto sono soddisfatto per il prezzo che L ho pagato",it,"Ottimo orologio, qualche piccolo problema con Alexa e con battito cardiaco, non lo rileva molte volte per il resto sono soddisfatto per il prezzo che L ho pagato"
252,Jean - Marc Leprince,4,2023-11-01,Installation d’écrans très limité,Il n’y a que 2 écrans qu’on peut choisir... dommage.,fr,Ci sono solo 2 schermate tra cui puoi scegliere... peccato.
253,ALEONARD MARIELLE,4,2023-10-12,Montre connectée,Facile d'utilisation et d'installation. Contente de mon achat,fr,Facile da usare e installare. Felice del mio acquisto
254,Joy,4,2023-10-28,Like,I like it but found out it causes my skin to peel.,en,Mi piace ma ho scoperto che mi fa sbucciare la pelle.
255,G. Pass,4,2023-10-24,Nice looking watch,Christmas present so can't really comment on performance etc.,en,Regalo di Natale quindi non posso davvero commentare le prestazioni ecc.
256,Cari,4,2023-10-20,Relación calidad precio buena.,"Práctico y bonito, a veces se desconecta y hay que entrar en la aplicación para ver los pasos actualizados.",es,"Pratico e bello, a volte si disconnette e devi entrare nell'applicazione per vedere i passaggi aggiornati."
257,Malcolm,4,2023-09-16,Nice watch,Does what it is supposed to do. Deducted a star because it was not easy to pair with Bluetooth. It does it ok  but the process is a bit laboured. Once paired it leaves you in no doubt that your phone is ringing!,en,Fa quello che dovrebbe fare. Tolta una stella perché non è stato facile l'accoppiamento con il Bluetooth. Lo fa bene ma il processo è un po' laborioso. Una volta abbinato non avrai dubbi sul fatto che il tuo telefono stia squillando!
258,Blanca,4,2023-10-05,Llego bien.,"Se ve muy bien, funciona bien hay cosas que no las emplea pero bien, un poco grande pero la correa se cierra muy bien.",es,"Sembra molto bello, funziona bene, ci sono cose che non usa ma buone, un po' grande ma il cinturino chiude molto bene."
259,CAMERON  SCOTT,4,2023-07-10,Good watch. Lack of usable faces.,"I bought this watch not expecting much. I have been surprised. It does appear to have the functions of a much more expensive watch. So far it seems to monitor my heart rate,steps and sleep accurately and in real time which some of the cheaper and comparable watches don't do. It also displays sms messages. The display is bright and responsive and the battery does look as if it will last a minimum of 7 days +. My only gripe is the lack of useful downloadable faces. The one shown on the amazon page would have been excellent for me. Unfortunately although it is shown on the watch on the amazon page it is nowhere to be found to download on the app which was disappointing. Not a dealbreaker though and would still recommend.",en,"Ho comprato questo orologio senza aspettarmi molto. Sono rimasto sorpreso. Sembra avere le funzioni di un orologio molto più costoso. Finora sembra monitorare la frequenza cardiaca, i passi e il sonno in modo accurato e in tempo reale, cosa che alcuni degli orologi più economici e comparabili non fanno. Visualizza anche i messaggi SMS. Il display è luminoso e reattivo e la batteria sembra durare almeno 7 giorni +. La mia unica lamentela è la mancanza di volti scaricabili utili. Quello mostrato sulla pagina Amazon sarebbe stato eccellente per me. Sfortunatamente, sebbene sia mostrato sull'orologio sulla pagina Amazon, non è possibile trovarlo da nessuna parte per il download sull'app, il che è stato deludente. Non è un rompicapo e lo consiglierei comunque."
260,Andreas Deas,4,2023-11-11,Top Funktionen,Zeigt alles an was wichtig ist für sportliche Aktivitäten ist die Uhr unverzichtbarAber bei der Registrierung gibt es SchwierigkeitenAnsonsten kann die Uhr für den Preis mit anderen mithalten,de,Mostra tutto ciò che è importante. L'orologio è indispensabile per le attività sportive. Ma ci sono difficoltà durante la registrazione. Altrimenti l'orologio può competere con altri per il prezzo
261,Boris richard,4,2023-11-10,Calidad precio justo,Me ha gustado lo facil de usar que es. Tiene las funciones que indica. Solo que deberia ser posible e interesante activar el gps a distancia del movil.,es,Mi è piaciuto quanto sia facile da usare. Ha le funzioni che indica. Solo che dovrebbe essere possibile e interessante attivare il GPS a distanza dal cellulare.
